month,hour,weekday_kw,weekend_kw
8,6,0.071242163,0.048789911
8,7,0.118759143,0.091998723
8,8,0.16905303,0.120641762
8,9,0.205894723,0.21112069
8,10,0.25098093,0.251787995
8,11,0.317788662,0.319294381
8,12,0.355990073,0.410766284
8,13,0.370715778,0.457212644
8,14,0.369774033,0.455536398
8,15,0.425475444,0.441519796
8,16,0.466977534,0.482707535
8,17,0.522964995,0.494731801
8,18,0.529758359,0.474348659
8,19,0.508183124,0.507065773
8,20,0.467810867,0.479195402
8,21,0.446071055,0.437206258
8,22,0.355829415,0.36635696
8,23,0.284832811,0.323036398
9,0,0.21609326,0.178372845
9,1,0.15485371,0.14310704
9,2,0.118521421,0.115894397
9,3,0.088635057,0.089734195
9,4,0.05625,0.06777658
9,5,0.041111546,0.042819684
9,6,0.061295716,0.055046695
9,7,0.099925549,0.099321121
9,8,0.161491641,0.155542385
9,9,0.202607106,0.196325431
9,10,0.244763584,0.274798851
9,11,0.32341954,0.338186063
9,12,0.354299896,0.395499282
9,13,0.360312173,0.421479885
9,14,0.392736416,0.413189655
9,15,0.444299896,0.439615661
9,16,0.499303814,0.488153736
9,17,0.527835684,0.486336207
9,18,0.508756531,0.512722701
9,19,0.494840648,0.512546695
9,20,0.473524033,0.470923132
9,21,0.425485893,0.450377155
9,22,0.373810084,0.380915948
9,23,0.29357628,0.320201149
10,0,0.222988506,0.192298851
10,1,0.153490695,0.151479885
10,2,0.116787083,0.116956897
10,3,0.085276409,0.098893678
10,4,0.049451286,0.060295977
10,5,0.039340449,0.049816092
10,6,0.05968254,0.067244253
10,7,0.098080186,0.103896552
10,8,0.154482759,0.147158046
10,9,0.190369458,0.192933908
10,10,0.251576355,0.249172414
10,11,0.316215107,0.331241379
10,12,0.333133552,0.417916667
10,13,0.360240832,0.45483908
10,14,0.405117679,0.42412931
10,15,0.458353859,0.429261494
10,16,0.47448139,0.487701149
10,17,0.49914751,0.537025862
10,18,0.50522578,0.507149425
10,19,0.491954023,0.510413793
10,20,0.444318555,0.465692529
10,21,0.393678161,0.405761494
10,22,0.34793514,0.371091954
10,23,0.295915435,0.329077586
11,0,0.224518025,0.209019397
11,1,0.16159744,0.148196839
11,2,0.114757053,0.122302443
11,3,0.08832419,0.104590517
11,4,0.055188088,0.065517241
11,5,0.042771682,0.043096264
11,6,0.061410658,0.052115661
11,7,0.101155956,0.070574713
11,8,0.155813741,0.149249282
11,9,0.191138976,0.197837644
11,10,0.245549896,0.229220546
11,11,0.321206897,0.319551006
11,12,0.355835946,0.39873204
11,13,0.374218913,0.412112069
11,14,0.381564786,0.405211925
11,15,0.459216301,0.442331178
11,16,0.487789969,0.474755747
11,17,0.532621473,0.507237787
11,18,0.514605538,0.50981681
11,19,0.478902821,0.467826868
11,20,0.467426855,0.455783046
11,21,0.427787356,0.457183908
11,22,0.353646813,0.38237069
11,23,0.299712644,0.332722701
12,0,0.224009245,0.213132184
12,1,0.163174663,0.160768678
12,2,0.125107446,0.118929598
12,3,0.098204648,0.098433908
12,4,0.061669165,0.066767241
12,5,0.043413293,0.041375718
12,6,0.066602949,0.052295259
12,7,0.102010245,0.084877874
12,8,0.162822339,0.124744971
12,9,0.183093453,0.19544181
12,10,0.238149675,0.245025144
12,11,0.337906047,0.356185345
12,12,0.369931284,0.407086925
12,13,0.367911044,0.427449713
12,14,0.390629685,0.455797414
12,15,0.441489255,0.446429598
12,16,0.474988756,0.495502874
12,17,0.539631434,0.523028017
12,18,0.548543228,0.547047414
12,19,0.514121689,0.554005029
12,20,0.501066967,0.498728448
12,21,0.454903798,0.444637213
12,22,0.382637431,0.424536638
12,23,0.298028486,0.357212644
